Interval,GMTIntervalEnd,Fuel On Margin
01/26/2026 01:00:00,01/26/2026 07:00:00,"VIRTUAL OFFER BID"
01/26/2026 02:00:00,01/26/2026 08:00:00,"GAS"
01/26/2026 03:00:00,01/26/2026 09:00:00,"GAS"
01/26/2026 04:00:00,01/26/2026 10:00:00,"VIRTUAL OFFER BID,OTHER,GAS"
01/26/2026 05:00:00,01/26/2026 11:00:00,"GAS"
01/26/2026 06:00:00,01/26/2026 12:00:00,"VIRTUAL OFFER BID,TRANSACTION,OTHER,GAS"
01/26/2026 07:00:00,01/26/2026 13:00:00,"VIRTUAL OFFER BID,TRANSACTION,OTHER,GAS,COAL"
01/26/2026 08:00:00,01/26/2026 14:00:00,"WIND,VIRTUAL OFFER BID,OTHER,GAS"
01/26/2026 09:00:00,01/26/2026 15:00:00,"VIRTUAL OFFER BID,OTHER,GAS"
01/26/2026 10:00:00,01/26/2026 16:00:00,"VIRTUAL OFFER BID,OTHER,GAS"
01/26/2026 11:00:00,01/26/2026 17:00:00,"VIRTUAL OFFER BID,GAS,COAL"
01/26/2026 12:00:00,01/26/2026 18:00:00,"VIRTUAL OFFER BID,OTHER,GAS,COAL"
01/26/2026 13:00:00,01/26/2026 19:00:00,"VIRTUAL OFFER BID,OTHER,GAS"
01/26/2026 14:00:00,01/26/2026 20:00:00,"VIRTUAL OFFER BID,OTHER,GAS,COAL"
01/26/2026 15:00:00,01/26/2026 21:00:00,"WIND,VIRTUAL OFFER BID,GAS,COAL"
01/26/2026 16:00:00,01/26/2026 22:00:00,"VIRTUAL OFFER BID,DEMAND,COAL"
01/26/2026 17:00:00,01/26/2026 23:00:00,"VIRTUAL OFFER BID,GAS,COAL"
01/26/2026 18:00:00,01/27/2026 00:00:00,"WIND,VIRTUAL OFFER BID,OTHER,GAS,COAL"
01/26/2026 19:00:00,01/27/2026 01:00:00,"WIND,VIRTUAL OFFER BID,OTHER,GAS,COAL"
01/26/2026 20:00:00,01/27/2026 02:00:00,"WIND,VIRTUAL OFFER BID,GAS,COAL"
01/26/2026 21:00:00,01/27/2026 03:00:00,"WIND,VIRTUAL OFFER BID,OTHER,GAS,COAL"
01/26/2026 22:00:00,01/27/2026 04:00:00,"WIND,VIRTUAL OFFER BID,GAS"
01/26/2026 23:00:00,01/27/2026 05:00:00,"WIND,VIRTUAL OFFER BID,GAS,COAL"
01/27/2026 00:00:00,01/27/2026 06:00:00,"WIND,VIRTUAL OFFER BID,GAS,COAL"
